task,t5_base_score,german_t5_score,AA_wechsel-robust-german-from-640k-en_score,AA_wechsel-robust-german-from-640k-en_vs_t5base_%,AA_wechsel-robust-german-from-640k-en_vs_german_t5_%,green-run-640k-english-source_score,green-run-640k-english-source_vs_t5base_%,green-run-640k-english-source_vs_german_t5_%,wechsel_vs_english_diff
abstract_algebra,0.22,0.26,0.28,27.27272727272728,7.692307692307699,0.33,50.000000000000014,26.923076923076927,-0.04999999999999999
anatomy,0.1851851851851851,0.2444444444444444,0.237037037037037,28.000000000000043,-3.030303030303035,0.2592592592592592,40.000000000000036,6.060606060606047,-0.0222222222222222
astronomy,0.1842105263157894,0.1842105263157894,0.3026315789473684,64.28571428571435,64.28571428571435,0.25,35.714285714285765,35.714285714285765,0.05263157894736842
business_ethics,0.3,0.28,0.23,-23.33333333333333,-17.85714285714286,0.25,-16.666666666666664,-10.714285714285724,-0.01999999999999999
clinical_knowledge,0.2075471698113207,0.260377358490566,0.2264150943396226,9.090909090909092,-13.043478260869565,0.2377358490566037,14.54545454545453,-8.695652173913054,-0.011320754716981102
college_biology,0.2569444444444444,0.2222222222222222,0.2638888888888889,2.702702702702715,18.750000000000007,0.2430555555555555,-5.405405405405419,9.374999999999979,0.020833333333333398
college_chemistry,0.21,0.27,0.18,-14.285714285714285,-33.33333333333334,0.2,-4.761904761904753,-25.925925925925924,-0.020000000000000018
college_computer_science,0.26,0.22,0.2,-23.076923076923077,-9.090909090909086,0.19,-26.923076923076927,-13.636363636363635,0.010000000000000009
college_mathematics,0.21,0.25,0.21,0.0,-16.000000000000004,0.2,-4.761904761904753,-19.999999999999996,0.009999999999999981
college_medicine,0.2196531791907514,0.2774566473988439,0.2774566473988439,26.31578947368423,0.0,0.2543352601156069,15.789473684210547,-8.33333333333333,0.023121387283236983
college_physics,0.2058823529411764,0.2254901960784313,0.2254901960784313,9.52380952380952,0.0,0.1764705882352941,-14.285714285714265,-21.739130434782588,0.04901960784313719
computer_security,0.28,0.26,0.29,3.5714285714285547,11.538461538461526,0.27,-3.571428571428574,3.8461538461538494,0.019999999999999962
conceptual_physics,0.2595744680851063,0.2638297872340425,0.2595744680851063,0.0,-1.6129032258064544,0.2765957446808511,6.55737704918036,4.838709677419384,-0.01702127659574476
econometrics,0.2368421052631578,0.2280701754385964,0.2280701754385964,-3.703703703703705,0.0,0.2456140350877192,3.703703703703705,7.692307692307695,-0.017543859649122806
electrical_engineering,0.2344827586206896,0.2137931034482758,0.2758620689655172,17.647058823529417,29.03225806451615,0.2689655172413793,14.705882352941197,25.80645161290326,0.006896551724137889
