Task,Wechsel_Score,English_Score,Transfer_Advantage
security_studies,0.273469387755102,0.1714285714285714,0.10204081632653059
high_school_statistics,0.2546296296296296,0.1666666666666666,0.08796296296296299
formal_logic,0.2857142857142857,0.2301587301587301,0.05555555555555561
astronomy,0.3026315789473684,0.25,0.05263157894736842
high_school_macroeconomics,0.2307692307692307,0.1794871794871795,0.05128205128205121
college_physics,0.2254901960784313,0.1764705882352941,0.04901960784313719
human_sexuality,0.2595419847328244,0.2213740458015267,0.03816793893129772
professional_medicine,0.2389705882352941,0.2022058823529411,0.036764705882353005
international_law,0.2892561983471074,0.256198347107438,0.03305785123966942
high_school_world_history,0.2911392405063291,0.2616033755274262,0.029535864978902926
high_school_microeconomics,0.2394957983193277,0.2100840336134453,0.029411764705882415
world_religions,0.2865497076023391,0.2573099415204678,0.029239766081871288
college_medicine,0.2774566473988439,0.2543352601156069,0.023121387283236983
college_biology,0.2638888888888889,0.2430555555555555,0.020833333333333398
medical_genetics,0.2,0.18,0.020000000000000018
computer_security,0.29,0.27,0.019999999999999962
sociology,0.2437810945273631,0.2288557213930348,0.01492537313432829
professional_law,0.2555410691003911,0.242503259452412,0.013037809647979098
high_school_psychology,0.2440366972477064,0.2330275229357798,0.011009174311926606
college_computer_science,0.2,0.19,0.010000000000000009
