Subject,Average_Advantage_Green_vs_Clean,Green_Better,Advantage_Magnitude
High School Chemistry,1.142473118279568,True,1.142473118279568
High School Statistics,15.042892156862743,True,15.042892156862743
Philosophy,0.39308176100628955,True,0.39308176100628955
Management,9.83796296296296,True,9.83796296296296
High School Geography,10.476190476190476,True,10.476190476190476
Global Facts,-9.606481481481477,False,9.606481481481477
High School Biology,4.185267857142858,True,4.185267857142858
Professional Medicine,10.791666666666666,True,10.791666666666666
Astronomy,10.974702380952385,True,10.974702380952385
Anatomy,-0.8749999999999997,False,0.8749999999999997
Security Studies,12.047101449275361,True,12.047101449275361
High School Psychology,6.425233644859815,True,6.425233644859815
High School Government And Politics,8.826754385964913,True,8.826754385964913
High School Physics,5.520833333333335,True,5.520833333333335
College Physics,8.035714285714286,True,8.035714285714286
Clinical Knowledge,2.93560606060606,True,2.93560606060606
Elementary Mathematics,1.002109704641353,True,1.002109704641353
High School Chemistry Stderr,0.1923471505132551,True,0.1923471505132551
College Chemistry,9.821428571428575,True,9.821428571428575
High School Microeconomics,5.25,True,5.25
College Mathematics,0.49603174603174494,True,0.49603174603174494
High School Mathematics,0.08979885057471154,True,0.08979885057471154
High School Macroeconomics,7.787698412698411,True,7.787698412698411
High School European History,2.0833333333333326,True,2.0833333333333326
Public Relations,-6.293402777777776,False,6.293402777777776
Philosophy Stderr,0.17879227533517386,True,0.17879227533517386
Abstract Algebra,-3.219696969696969,False,3.219696969696969
College Medicine,4.495614035087719,True,4.495614035087719
High School Statistics Stderr,2.101716335225482,True,2.101716335225482
Prehistory,-1.33101851851852,False,1.33101851851852
Management Stderr,1.6700712097647898,True,1.6700712097647898
High School Geography Stderr,2.2127355285498935,True,2.2127355285498935
High School Biology Stderr,0.9682685181543604,True,0.9682685181543604
Global Facts Stderr,-2.7930288506532572,False,2.7930288506532572
Anatomy Stderr,-0.1832446386073888,False,0.1832446386073888
Astronomy Stderr,2.797062131717786,True,2.797062131717786
Logical Fallacies,0.08445945945945825,True,0.08445945945945825
Nutrition,3.601190476190476,True,3.601190476190476
Security Studies Stderr,2.728287446548041,True,2.728287446548041
High School Psychology Stderr,1.429002383649726,True,1.429002383649726
Professional Medicine Stderr,1.838490188538784,True,1.838490188538784
High School Physics Stderr,1.498025179640911,True,1.498025179640911
High School Government And Politics Stderr,1.9358817346596975,True,1.9358817346596975
Professional Accounting,-0.710227272727273,False,0.710227272727273
Moral Disputes,-0.4629629629629615,False,0.4629629629629615
Clinical Knowledge Stderr,0.8209997505484061,True,0.8209997505484061
Elementary Mathematics Stderr,0.29755019433004987,True,0.29755019433004987
Econometrics,-2.6620370370370376,False,2.6620370370370376
Electrical Engineering,1.7463235294117638,True,1.7463235294117638
College Mathematics Stderr,0.06843319015091914,True,0.06843319015091914
College Physics Stderr,1.7740154706693383,True,1.7740154706693383
Moral Scenarios,0.9581367924528297,True,0.9581367924528297
High School Mathematics Stderr,0.08089181684989484,True,0.08089181684989484
High School Microeconomics Stderr,1.1736354775210265,True,1.1736354775210265
Miscellaneous,-3.7018369175627215,False,3.7018369175627215
High School European History Stderr,0.6351998320560637,True,0.6351998320560637
Abstract Algebra Stderr,-0.9600162917576144,False,0.9600162917576144
Public Relations Stderr,-1.6702577174733861,False,1.6702577174733861
International Law,-6.3936781609195386,False,6.3936781609195386
High School Macroeconomics Stderr,1.8192788335834935,True,1.8192788335834935
College Chemistry Stderr,1.9455075342150936,True,1.9455075342150936
Prehistory Stderr,-0.4390327592028696,False,0.4390327592028696
College Medicine Stderr,1.1603673324394148,True,1.1603673324394148
Logical Fallacies Stderr,0.06237725645997424,True,0.06237725645997424
Sociology,1.8494897959183667,True,1.8494897959183667
Nutrition Stderr,1.0540498537995766,True,1.0540498537995766
Professional Accounting Stderr,-0.20953112172734142,False,0.20953112172734142
Moral Disputes Stderr,-0.17733587492312855,False,0.17733587492312855
Moral Scenarios Stderr,0.299144540067852,True,0.299144540067852
Econometrics Stderr,-0.8273125854827047,False,0.8273125854827047
Electrical Engineering Stderr,0.5640775945924136,True,0.5640775945924136
Miscellaneous Stderr,-1.254525189078975,False,1.254525189078975
Professional Law,1.4432899320127035e-15,True,1.4432899320127035e-15
Sociology Stderr,0.6363633104234655,True,0.6363633104234655
Professional Psychology,-0.7812499999999994,False,0.7812499999999994
Professional Law Stderr,0.007339825052980346,True,0.007339825052980346
Professional Psychology Stderr,-0.28891748740882234,False,0.28891748740882234
High School Us History,0.20424836601307042,True,0.20424836601307042
High School Us History Stderr,0.09544165690099904,True,0.09544165690099904
High School Computer Science,-1.500000000000001,False,1.500000000000001
Human Sexuality Stderr,0.16789263452779943,True,0.16789263452779943
International Law Stderr,-2.59880377122983,False,2.59880377122983
Human Sexuality,0.5050505050505063,True,0.5050505050505063
High School Computer Science Stderr,-0.5027854855473665,False,0.5027854855473665
College Biology Stderr,0.8084639505092192,True,0.8084639505092192
Jurisprudence Stderr,-0.6828110415782946,False,0.6828110415782946
Conceptual Physics Stderr,-1.3668002636027348,False,1.3668002636027348
College Computer Science Stderr,1.9589401810582199,True,1.9589401810582199
College Biology,2.3367117117117133,True,2.3367117117117133
High School World History Stderr,-0.6027127153718123,False,0.6027127153718123
Conceptual Physics,-3.944672131147543,False,3.944672131147543
Jurisprudence,-1.9345238095238093,False,1.9345238095238093
Computer Security Stderr,-1.4785852037131688,False,1.4785852037131688
Marketing Stderr,-1.0043755249750619,False,1.0043755249750619
Virology Stderr,-1.4117741216251882,False,1.4117741216251882
College Computer Science,6.049679487179486,True,6.049679487179486
Medical Genetics Stderr,-1.4961504374572865,False,1.4961504374572865
Us Foreign Policy Stderr,0.4584700486238227,True,0.4584700486238227
Business Ethics Stderr,-1.3528098181425712,False,1.3528098181425712
Machine Learning Stderr,-1.3966689525013083,False,1.3966689525013083
World Religions Stderr,-0.2960233781308025,False,0.2960233781308025
Formal Logic Stderr,0.8326879879951202,True,0.8326879879951202
High School World History,-1.522435897435898,False,1.522435897435898
Human Aging Stderr,-5.573816993161309,False,5.573816993161309
Computer Security,-3.422619047619049,False,3.422619047619049
Virology,-3.6569148936170195,False,3.6569148936170195
Marketing,-2.456467661691543,False,2.456467661691543
Medical Genetics,-3.680555555555557,False,3.680555555555557
Business Ethics,-3.4375000000000013,False,3.4375000000000013
Us Foreign Policy,0.833333333333334,True,0.833333333333334
Human Aging,-11.651785714285714,False,11.651785714285714
Machine Learning,-2.797619047619049,False,2.797619047619049
Formal Logic,3.1770833333333335,True,3.1770833333333335
World Religions,-0.4166666666666658,False,0.4166666666666658
